paleoproterozoic         | Paleoproterozoic         |  The Paleoproterozoic Era, spanning the time period from 2,500 to 1,600 million years ago (2.5–1.6 Ga), is the first of the three sub-divisions (eras) of the Proterozoic Eon. The Paleoproterozoic is also the longest era of the Earth's geological history. It was during this era that the continents first stabilized. Paleontological evidence suggests that the Earth's rotational rate during this era resulted in 20-hour days ~1.8 billion years ago, implying a total of ~450 days per year.
mesoproterozoic          | Mesoproterozoic          |  The Mesoproterozoic Era is a geologic era that occurred from 1,600 to 1,000 million years ago. The Mesoproterozoic was the first period of Earth's history of which a fairly definitive geological record survives. Continents existed during the preceding era (the Paleoproterozoic), but little is known about them. The continental masses of the Mesoproterozoic were more or less the same ones that exist today.
neoproterozoic           | Neoproterozoic           |  The Neoproterozoic Era is the unit of geologic time from 1,000 to 541 million years ago. It is the last era of the Precambrian Supereon and the Proterozoic Eon; it is subdivided into the Tonian, Cryogenian, and Ediacaran Periods. It is preceded by the Mesoproterozoic era and succeeded by the Paleozoic era of the Phanerozoic eon. The most severe glaciation known in the geologic record occurred during the Cryogenian, when ice sheets may have reached the equator and formed a "Snowball Earth".
paleozoic                | Paleozoic                |  The Paleozoic (or Palaeozoic) Era, "old" and zōḗ (ζωή), "life", meaning "ancient life") is the earliest of three geologic eras of the Phanerozoic Eon. It is the longest of the Phanerozoic eras, lasting from 541 to 251.902 million years ago, and is subdivided into six geologic periods (from oldest to youngest): the Cambrian, Ordovician, Silurian, Devonian, Carboniferous, and Permian. The Paleozoic comes after the Neoproterozoic Era of the Proterozoic Eon and is followed by the Mesozoic Era.
mesozoic                 | Mesozoic                 |  The Mesozoic Era is an interval of geological time from about 252 to 66 million years ago. It is also called the Age of Reptiles and the Age of Conifers. The Mesozoic ("middle life") is one of three geologic eras of the Phanerozoic Eon, preceded by the Paleozoic ("ancient life") and succeeded by the Cenozoic ("new life"). The era is subdivided into three major periods: the Triassic, Jurassic, and Cretaceous, which are further subdivided into a number of epochs and stages.
cenozoic                 | Cenozoic                 |  The Cenozoic Era meaning "new life" is the current and most recent of the three geological eras of the Phanerozoic Eon. It follows the Mesozoic Era and extends from 66 million years ago to the present day. It is generally believed to have started on the first day of the Cretaceous–Paleogene extinction event (also referred to as the K-Pg, or K-T, extinction event) when an asteroid hit the Earth. The Cenozoic is also known as the Age of Mammals.
siderian                 | Siderian                 |  The Siderian Period is the first geologic period in the Paleoproterozoic Era and lasted from 2500 Ma to 2300 Ma (million years ago). Instead of being based on stratigraphy, these dates are defined chronometrically.
rhyacian                 | Rhyacian                 |  The Rhyacian Period is the second geologic period in the Paleoproterozoic Era and lasted from 2300 Mya to 2050 Mya (million years ago). Instead of being based on stratigraphy, these dates are defined chronometrically. The Bushveld Igneous Complex and other similar intrusions formed during this period. The Huronian (Makganyene) global glaciation began at the start of the Rhyacian and lasted 100 million years.
orosirian                | Orosirian                |  The Orosirian Period is the third geologic period in the Paleoproterozoic Era and lasted from 2050 Mya to 1800 Mya (million years ago). Instead of being based on stratigraphy, these dates are defined chronometrically. Vredefort crater is believed to have formed in this period. The later half of the period was an episode of intensive orogeny on virtually all continents.
statherian               | Statherian               |  The Statherian Period, meaning "stable, firm") is the final geologic period in the Paleoproterozoic Era and lasted from 1800 Mya to 1600 Mya (million years ago). Instead of being based on stratigraphy, these dates are defined chronometrically. The period was characterized on most continents by either new platforms or final cratonization of fold belts. Oxygen levels were 10% to 20% of current values.
calymmian                | Calymmian                |  The Calymmian Period (from Greek κάλυμμα (kálymma), meaning "cover") is the first geologic period in the Mesoproterozoic Era and lasted from 1600 Mya to 1400 Mya (million years ago). Instead of being based on stratigraphy, these dates are defined chronometrically. The period is characterised by expansion of existing platform covers, or by new platforms on recently cratonized basements.
ectasian                 | Ectasian                 |  The Ectasian Period (from Greek ἔκτασις (éktasis), meaning "extension") is the second geologic period in the Mesoproterozoic Era and lasted from 1400 Mya ago to 1200 Mya (million years ago). Instead of being based on stratigraphy, these dates are defined chronometrically. Geologically the name refers to the continued expansion of platform covers during this period.
stenian                  | Stenian                  |  The Stenian Period (from Greek στενός (stenós), meaning "narrow") is the final geologic period in the Mesoproterozoic Era and lasted from 1200 Mya to 1000 Mya (million years ago). Instead of being based on stratigraphy, these dates are defined chronometrically. The name derives from narrow polymetamorphic belts formed over this period. Preceded by the Ectasian period and followed by the Neoproterozoic Era. The supercontinent Rodinia assembled during the Stenian. It would last into the Tonian period.
tonian                   | Tonian                   |  The Tonian (from Greek τόνος (tónos), meaning "stretch") is the first geologic period of the Neoproterozoic Era. It lasted from 1000 Mya to 720 Mya (million years ago). Instead of being based on stratigraphy, these dates are defined by the ICS based on radiometric chronometry. The Tonian is preceded by the Stenian Period of the Mesoproterozoic era and followed by the Cryogenian. Rifting leading to the breakup of supercontinent Rodinia, which had formed in the mid-Stenian, occurred during this period, starting from 900 to 850 Mya.
cryogenian               | Cryogenian               |  The Cryogenian, meaning "cold" and γένεσις (génesis), meaning "birth") is a geologic period that lasted from 720 to 635 million years ago. It forms the second geologic period of the Neoproterozoic Era, preceded by the Tonian Period and followed by the Ediacaran. The Sturtian and Marinoan glaciations occurred during the Cryogenian period, which are the greatest ice ages known to have occurred on Earth. These events are the subject of much scientific controversy. The main debate contests whether these glaciations covered the entire planet (the so-called "Snowball Earth") or a band of open sea survived near the equator (termed "slushball Earth").
ediacaran                | Ediacaran                |  The Ediacaran Period is a geological period that spans 94 million years from the end of the Cryogenian Period 635 million years ago (Mya), to the beginning of the Cambrian Period 541 Mya. It marks the end of the Proterozoic Eon, and the beginning of the Phanerozoic Eon. It is named after the Ediacara Hills of South Australia.
cambrian                 | Cambrian                 |  The Cambrian Period was the first geological period of the Paleozoic Era, and of the Phanerozoic Eon. The Cambrian lasted 55.6 million years from the end of the preceding Ediacaran Period 541 million years ago (mya) to the beginning of the Ordovician Period 485.4 mya. Its subdivisions, and its base, are somewhat in flux. The period was established (as “Cambrian series”) by Adam Sedgwick, who named it after Cambria, the Latin name of Wales, where Britain's Cambrian rocks are best exposed. The Cambrian is unique in its unusually high proportion of lagerstätte sedimentary deposits, sites of exceptional preservation where "soft" parts of organisms are preserved as well as their more resistant shells. As a result, our understanding of the Cambrian biology surpasses that of some later periods. The Cambrian marked a profound change in life on Earth.
ordovician               | Ordovician               |  The Ordovician is a geologic period and system, the second of six periods of the Paleozoic Era. The Ordovician spans 41.6 million years from the end of the Cambrian Period 485.4 million years ago (Mya) to the start of the Silurian Period 443.8 Mya. The Ordovician, named after the Welsh tribe of the Ordovices, was defined by Charles Lapworth in 1879 to resolve a dispute between followers of Adam Sedgwick and Roderick Murchison, who were placing the same rock beds in northern Wales into the Cambrian and Silurian systems, respectively. Lapworth recognized that the fossil fauna in the disputed strata were different from those of either the Cambrian or the Silurian systems, and placed them in a system of their own.
silurian                 | Silurian                 |  The Silurian is a geologic period and system spanning 24.6 million years from the end of the Ordovician Period, at 443.8 million years ago (Mya), to the beginning of the Devonian Period, 419.2 Mya. The Silurian is the shortest period of the Paleozoic Era. As with other geologic periods, the rock beds that define the period's start and end are well identified, but the exact dates are uncertain by a few million years. The base of the Silurian is set at a series of major Ordovician–Silurian extinction events when up to 60% of marine genera were wiped out. A significant evolutionary milestone during the Silurian was the diversification of jawed fish and bony fish.
devonian                 | Devonian                 |  The Devonian is a geologic period and system of the Paleozoic, spanning 60 million years from the end of the Silurian, 419.2 million years ago (Mya), to the beginning of the Carboniferous, 358.9 Mya. It is named after Devon, England, where rocks from this period were first studied. The first significant adaptive radiation of life on dry land occurred during the Devonian. Free-sporing vascular plants began to spread across dry land, forming extensive forests which covered the continents.
carboniferous            | Carboniferous            |  The Carboniferous is a geologic period and system that spans 60 million years from the end of the Devonian Period 358.9 million years ago (Mya), to the beginning of the Permian Period, 298.9 Mya. The name Carboniferous means "coal-bearing" and derives from the Latin words carbō ("coal") and ferō ("I bear, I carry"), and was coined by geologists William Conybeare and William Phillips in 1822. Based on a study of the British rock succession, it was the first of the modern 'system' names to be employed, and reflects the fact that many coal beds were formed globally during that time. The Carboniferous is often treated in North America as two geological periods, the earlier Mississippian and the later Pennsylvanian. Terrestrial animal life was well established by the Carboniferous period. Amphibians were the dominant land vertebrates, of which one branch would eventually evolve into amniotes, the first solely terrestrial vertebrates.
permian                  | Permian                  |  The Permian is a geologic period and system which spans 47 million years from the end of the Carboniferous period 298.9 million years ago (Mya), to the beginning of the Triassic period 251.902 Mya. It is the last period of the Paleozoic era; the following Triassic period belongs to the Mesozoic era. The concept of the Permian was introduced in 1841 by geologist Sir Roderick Murchison, who named it after the region of Perm in Russia. The Permian witnessed the diversification of the early amniotes into the ancestral groups of the mammals, turtles, lepidosaurs, and archosaurs. The world at the time was dominated by two continents known as Pangaea and Siberia, surrounded by a global ocean called Panthalassa. The Carboniferous rainforest collapse left behind vast regions of desert within the continental interior.
triassic                 | Triassic                 |  The Triassic is a geologic period and system which spans 50.6 million years from the end of the Permian Period 251.9 million years ago (Mya), to the beginning of the Jurassic Period 201.3 Mya. The Triassic is the first and shortest period of the Mesozoic Era. Both the start and end of the period are marked by major extinction events. The Triassic period is subdivided into three epochs: Early Triassic, Middle Triassic and Late Triassic. The Triassic began in the wake of the Permian–Triassic extinction event, which left the Earth's biosphere impoverished; it was well into the middle of the Triassic before life recovered its former diversity. Therapsids and archosaurs were the chief terrestrial vertebrates during this time. A specialized subgroup of archosaurs, called dinosaurs, first appeared in the Late Triassic but did not become dominant until the succeeding Jurassic Period.
jurassic                 | Jurassic                 |  The Jurassic is a geologic period and system that spanned 56 million years from the end of the Triassic Period 201.3 million years ago (Mya) to the beginning of the Cretaceous Period 145 Mya.[note 1] The Jurassic constitutes the middle period of the Mesozoic Era, also known as the Age of Reptiles. The start of the period was marked by the major Triassic–Jurassic extinction event. Two other extinction events occurred during the period: the Pliensbachian-Toarcian extinction in the Early Jurassic, and the Tithonian event at the end; neither event ranks among the "Big Five" mass extinctions, however. The Jurassic period is divided into three epochs: Early, Middle, and Late. Similarly, in stratigraphy, the Jurassic is divided into the Lower Jurassic, Middle Jurassic, and Upper Jurassic series of rock formations.
cretaceous               | Cretaceous               |  The Cretaceous is a geological period that lasted from about 145 to 66 million years ago (mya). It is the third and final period of the Mesozoic Era, as well as the longest. At nearly 80 million years, it is the longest geological period of the entire Phanerozoic. The name is derived from the Latin creta, 'chalk', which is abundant in the latter half of the period. It is usually abbreviated K, for its German translation Kreide. The Cretaceous was a period with a relatively warm climate, resulting in high eustatic sea levels that created numerous shallow inland seas. These oceans and seas were populated with now-extinct marine reptiles, ammonites and rudists, while dinosaurs continued to dominate on land. During this time, new groups of mammals and birds, as well as flowering plants, appeared. The Cretaceous (along with the Mesozoic) ended with the Cretaceous–Paleogene extinction event, a large mass extinction in which many groups, including non-avian dinosaurs, pterosaurs and large marine reptiles died out.
paleogene                | Paleogene                |  The Paleogene is a geologic period and system that spans 43 million years from the end of the Cretaceous Period 66 million years ago (Mya) to the beginning of the Neogene Period 23.03 Mya. It is the beginning of the Cenozoic Era of the present Phanerozoic Eon. The earlier term Tertiary Period was used to define the span of time now covered by the Paleogene and subsequent Neogene periods; despite no longer being recognised as a formal stratigraphic term, 'Tertiary' is still widely found in earth science literature and remains in informal use. The Paleogene is most notable for being the time during which mammals diversified from relatively small, simple forms into a large group of diverse animals in the wake of the Cretaceous–Paleogene extinction event that ended the preceding Cretaceous Period. The United States Geological Survey uses the abbreviation PE for the Paleogene, but the more commonly used abbreviation is PG with the PE being used for Paleocene. This period consists of the Paleocene, Eocene, and Oligocene epochs. The end of the Paleocene (55.5/54.8 Mya) was marked by the Paleocene–Eocene Thermal Maximum, one of the most significant periods of global change during the Cenozoic, which upset oceanic and atmospheric circulation and led to the extinction of numerous deep-sea benthic foraminifera and on land, a major turnover in mammals.
neogene                  | Neogene                  |  The Neogene  (informally Upper Tertiary or Late Tertiary) is a geologic period and system that spans 20.45 million years from the end of the Paleogene Period 23.03 million years ago (Mya) to the beginning of the present Quaternary Period 2.58 Mya. The Neogene is sub-divided into two epochs, the earlier Miocene and the later Pliocene. Some geologists[who?] assert that the Neogene cannot be clearly delineated from the modern geological period, the Quaternary. The term "Neogene" was coined in 1853 by the Austrian palaeontologist Moritz Hörnes (1815–1868). During this period, mammals and birds continued to evolve into modern forms, while other groups of life remained relatively unchanged. Early hominids, the ancestors of humans, appeared in Africa near the end of the period.[citation needed] Some continental movement took place, the most significant event being the connection of North and South America at the Isthmus of Panama, late in the Pliocene. This cut off the warm ocean currents from the Pacific to the Atlantic Ocean, leaving only the Gulf Stream to transfer heat to the Arctic Ocean. The global climate cooled considerably over the course of the Neogene, culminating in a series of continental glaciations in the Quaternary Period that follows.
quarternary              | Quarternary              |  Quaternary is the current and most recent of the three periods of the Cenozoic Era in the geologic time scale of the International Commission on Stratigraphy (ICS). It follows the Neogene Period and spans from 2.588 ± 0.005 million years ago to the present. The Quaternary Period is divided into two epochs: the Pleistocene (2.588 million years ago to 11.7 thousand years ago) and the Holocene (11.7 thousand years ago to today). The informal term "Late Quaternary" refers to the past 0.5–1.0 million years. The Quaternary Period is typically defined by the cyclic growth and decay of continental ice sheets related to the Milankovitch cycles and the associated climate and environmental changes that they caused.
mississippian            | Mississippian_(geology)  |  Mississippian is a subperiod in the geologic timescale or a subsystem of the geologic record. It is the earlier/lower of two subperiods of the Carboniferous period lasting from roughly 358.9 to 323.2 million years ago. As with most other geochronologic units, the rock beds that define the Mississippian are well identified, but the exact start and end dates are uncertain by a few million years. The Mississippian is so named because rocks with this age are exposed in the Mississippi River valley. The Mississippian was a period of marine transgression in the Northern Hemisphere: the sea level was so high that only the Fennoscandian Shield and the Laurentian Shield were dry land. The cratons were surrounded by extensive delta systems and lagoons, and carbonate sedimentation on the surrounding continental platforms, covered by shallow seas.
pennsylvanian            | Pennsylvanian_(geology)  |  Pennsylvanian is, in the ICS geologic timescale, the younger of two subperiods (or upper of two subsystems) of the Carboniferous Period. It lasted from roughly 323.2 million years ago to 298.9 million years ago. As with most other geochronologic units, the rock beds that define the Pennsylvanian are well identified, but the exact date of the start and end are uncertain by a few hundred thousand years. The Pennsylvanian is named after the U.S. state of Pennsylvania, where the coal-productive beds of this age are widespread. The division between Pennsylvanian and Mississippian comes from North American stratigraphy.
cambrian-series-2        | Cambrian_Series_2        |  Cambrian Series 2 is the unnamed 2nd series of the Cambrian. It lies above the Terreneuvian series and below the Miaolingian. Series 2 has not been formally defined by the International Commission on Stratigraphy, lacking a precise lower boundary and subdivision into stages. The proposed lower boundary is the first appearance of trilobites which is estimated to be around 521 million years ago.
terreneuvian             | Terreneuvian             |  The Terreneuvian is the lowermost and oldest series of the Cambrian geological system. Its base is defined by the first appearance datum of the trace fossil Treptichnus pedum around 541 million years ago. Its top is defined as the first appearance of trilobites in the stratigraphic record around 521 million years ago. This series was formally ratified by the International Commission on Stratigraphy in 2012.
miaolingian              | Miaolingian              |  The Miaolingian is the third Series of the Cambrian period, and was formally named in 2018. It lasted from about 509 to 497 million years ago and is divided in ascending order into 3 stages: the Wuliuan, Drumian, and Guzhangian. The Miaolingian is preceded by the unnamed Cambrian Series 2 and succeeded by the Furongian series.
furongian                | Furongian                |  The Furongian is the fourth and final epoch and series of the Cambrian. It lasted from 497 to 485.4 million years ago. It succeeds the Miaolingian series of the Cambrian and precedes the Lower Ordovician Tremadocian stage. It is subdivided into three stages: the Paibian, Jiangshanian and the unnamed 10th stage of the Cambrian.
early-ordovician         | Ordovician#Subdivisions  |  A number of regional terms have been used to subdivide the Ordovician Period. In 2008, the ICS erected a formal international system of subdivisions. There exist Baltoscandic, British, Siberian, North American, Australian, Chinese Mediterranean and North-Gondwanan regional stratigraphic schemes. The Ordovician Period in Britain was traditionally broken into Early (Tremadocian and Arenig), Middle (Llanvirn (subdivided into Abereiddian and Llandeilian) and Llandeilo) and Late (Caradoc and Ashgill) epochs. The corresponding rocks of the Ordovician System are referred to as coming from the Lower, Middle, or Upper part of the column.
middle-ordovician        | Ordovician#Subdivisions  |  A number of regional terms have been used to subdivide the Ordovician Period. In 2008, the ICS erected a formal international system of subdivisions. There exist Baltoscandic, British, Siberian, North American, Australian, Chinese Mediterranean and North-Gondwanan regional stratigraphic schemes. The Ordovician Period in Britain was traditionally broken into Early (Tremadocian and Arenig), Middle (Llanvirn (subdivided into Abereiddian and Llandeilian) and Llandeilo) and Late (Caradoc and Ashgill) epochs. The corresponding rocks of the Ordovician System are referred to as coming from the Lower, Middle, or Upper part of the column.
late-ordovician          | Ordovician#Subdivisions  |  A number of regional terms have been used to subdivide the Ordovician Period. In 2008, the ICS erected a formal international system of subdivisions. There exist Baltoscandic, British, Siberian, North American, Australian, Chinese Mediterranean and North-Gondwanan regional stratigraphic schemes. The Ordovician Period in Britain was traditionally broken into Early (Tremadocian and Arenig), Middle (Llanvirn (subdivided into Abereiddian and Llandeilian) and Llandeilo) and Late (Caradoc and Ashgill) epochs. The corresponding rocks of the Ordovician System are referred to as coming from the Lower, Middle, or Upper part of the column.
llandovery               | Silurian#Subdivisions    |  The Llandovery Epoch lasted from 443.8 ± 1.5 to 433.4 ± 2.8 mya, and is subdivided into three stages: the Rhuddanian, lasting until 440.8 million years ago, the Aeronian, lasting to 438.5 million years ago, and the Telychian. The epoch is named for the town of Llandovery in Carmarthenshire, Wales.
wenlock                  | Silurian#Subdivisions    |  The Wenlock, which lasted from 433.4 ± 1.5 to 427.4 ± 2.8 mya, is subdivided into the Sheinwoodian (to 430.5 million years ago) and Homerian ages. It is named after Wenlock Edge in Shropshire, England. During the Wenlock, the oldest-known tracheophytes of the genus Cooksonia, appear. The complexity of slightly later Gondwana plants like Baragwanathia, which resembled a modern clubmoss, indicates a much longer history for vascular plants, extending into the early Silurian or even Ordovician.[citation needed] The first terrestrial animals also appear in the Wenlock, represented by air-breathing millipedes from Scotland.
ludlow                   | Silurian#Subdivisions    |  The Ludlow lasted from 427.4 ± 1.5 to 423 ± 2.8 mya. It is named for the town of Ludlow in Shropshire, England. The Ludlow comprises the Gorstian stage (lasting until 425.6 million years ago) and the Ludfordian stage (named for Ludford, also in Shropshire).
pridoli                  | Pridoli                  |  In the geologic timescale, the Přídolí epoch of the Silurian period of the Paleozoic era of the Phanerozoic eon is comprehended between 423 ± 2.3 and 419.2 ± 3.2 mya (million years ago), approximately. The Přídolí epoch succeeds the Ludfordian age and precedes the Lochkovian age of the Devonian. It is named after one locality at the Homolka a Přídolí nature reserve near the Prague suburb Slivenec in the Czech Republic. Přídolí is the old name of a cadastral field area.
lower-devonian           | Devonian#subdivisions    |  The Early Devonian lasted from 419.2 ± 2.8 to 393.3 ± 2.5 and began with the Lochkovian stage 419.2 ± 2.8 to 410.8 ± 2.5, which was followed by the Pragian from 410.8 ± 2.8 to 407.6 ± 2.5 and then by the Emsian, which lasted until the Middle Devonian began, 393.3± 2.7 million years ago. During this time, the first ammonoids appeared, descending from bactritoid nautiloids. Ammonoids during this time period were simple and differed little from their nautiloid counterparts. These ammonoids belong to the order Agoniatitida, which in later epochs evolved to new ammonoid orders, for example Goniatitida and Clymeniida. This class of cephalopod molluscs would dominate the marine fauna until the beginning of the Mesozoic era.
middle-devonian          | Devonian#subdivisions    |  The Middle Devonian comprised two subdivisions: first the Eifelian, which then gave way to the Givetian 387.7± 2.7 million years ago. During this time the jawless agnathan fishes began to decline in diversity in freshwater and marine environments partly due to drastic environmental changes and partly due to the increasing competition, predation, and diversity of jawed fishes. The shallow, warm, oxygen-depleted waters of Devonian inland lakes, surrounded by primitive plants, provided the environment necessary for certain early fish to develop such essential characteristics as well developed lungs, and the ability to crawl out of the water and onto the land for short periods of time.
upper-devonian           | Devonian#subdivisions    |  Finally, the Late Devonian started with the Frasnian, 382.7 ± 2.8 to 372.2 ± 2.5, during which the first forests took shape on land. The first tetrapods appeared in the fossil record in the ensuing Famennian subdivision, the beginning and end of which are marked with extinction events. This lasted until the end of the Devonian, 358.9± 2.5 million years ago.
lower-mississippian      | Mississippian_(geology)#Subdivisions|  In the official geologic timescale, the Mississippian is subdivided into three stages.
middle-mississippian     | Mississippian_(geology)#Subdivisions|  In the official geologic timescale, the Mississippian is subdivided into three stages.
upper-mississippian      | Mississippian_(geology)#Subdivisions|  In the official geologic timescale, the Mississippian is subdivided into three stages.
lower-pennsylvanian      | Pennsylvanian_(geology)#Subdivisions|  The Pennsylvanian has been variously subdivided.
middle-pennsylvanian     | Pennsylvanian_(geology)#Subdivisions|  The Pennsylvanian has been variously subdivided.
upper-pennsylvanian      | Pennsylvanian_(geology)#Subdivisions|  The Pennsylvanian has been variously subdivided.
cisuralian               | Cisuralian               |  The Cisuralian is the first series/epoch of the Permian. The Cisuralian was preceded by the Pennsylvanian and followed by the Guadalupian. The Cisuralian Epoch is named after the western slopes of the Ural Mountains in Russia and Kazakhstan and dates between 298.9 ± 0.15 – 272.3 ± 0.5 Mya. The Cisuralian is often synonymous with the informal terms early Permian or lower Permian. The series saw the appearance of beetles and flies and was a relatively stable warming period of about 21 million years.
guadalupian              | Guadalupian              |  The Guadalupian is the second and middle series/epoch of the Permian. The Guadalupian was preceded by the Cisuralian and followed by the Lopingian. It is named after the Guadalupe Mountains of New Mexico and date between 272.3 ± 0.5 – 259.8 ± 0.4 Mya. The series saw the rise of the therapsids, a minor extinction event called Olson’s Extinction and a significant mass extinction called the end-Capitanian extinction event. The Guadalupian was previously known as the Middle Permian.
lopingian                | Lopingian                |  The Lopingian is the uppermost series/last epoch of the Permian. It is the last epoch of the Paleozoic. The Lopingian was preceded by the Guadalupian and followed by the Early Triassic. The Lopingian is often synonymous with the informal terms late Permian or upper Permian. The name was introduced by Amadeus William Grabau in 1931 and derives from Leping, Jiangxi in China. It consists of two stages/ages. The earlier is the Wuchiapingian and the later is the Changhsingian. The International Chronostratigraphic Chart (v2018/07) provides a numerical age of 259.1 ±0.5 Ma. If a Global Boundary Stratotype Section and Point (GSSP) has been approved, the lower boundary of the earliest stage determines numerical age of an epoch. The GSSP for the Wuchiapingian has a numerical age of 259.8 ± 0.4 Ma. The Lopingian ended with the Permian–Triassic extinction event.
lower-triassic           | Early_Triassic           |  The Early Triassic is the first of three epochs of the Triassic Period of the geologic timescale. It spans the time between 251.902 Ma and 247.2 Ma (million years ago). Rocks from this epoch are collectively known as the Lower Triassic series, which is a unit in chronostratigraphy. The Early Triassic is the oldest epoch of the Mesozoic Era. It is preceded by the Lopingian epoch (late Permian, Paleozoic Era) and followed by the Middle Triassic epoch. The Early Triassic is divided into the Induan and Olenekian ages. The Induan is subdivided into the Griesbachian and Dienerian subages and the Olenekian is subdivided into the Smithian and Spathian subages. The Lower Triassic series is coeval with the Scythian stage, which is today not included in the official timescales but can be found in older literature. In Europe, most of the Lower Triassic is composed of Buntsandstein, a lithostratigraphic unit of continental red beds.
middle-triassic          | Middle-triassic          |  In the geologic timescale, the Middle Triassic is the second of three epochs of the Triassic period or the middle of three series in which the Triassic system is divided in chronostratigraphy. The Middle Triassic spans the time between 247.2 Ma and 237 Ma (million years ago). It is preceded by the Early Triassic epoch and followed by the Late Triassic epoch. The Middle Triassic is divided into the Anisian and Ladinian ages or stages. Formerly the middle series in the Triassic was also known as Muschelkalk. This name is now only used for a specific unit of rock strata with approximately Middle Triassic age, found in western Europe.
upper-triassic           | Late_Triassic            |  The Late Triassic is the third and final epoch of the Triassic Period in the geologic timescale. The Triassic-Jurassic extinction event began during this epoch and is one of the five major mass extinction events of the Earth. The corresponding series is known as the Upper Triassic. In Europe the epoch was called the Keuper, after a German lithostratigraphic group (a sequence of rock strata) that has a roughly corresponding age. The Late Triassic spans the time between 237 Ma and 201.3 Ma (million years ago). It is preceded by the Middle Triassic epoch and is followed by the Early Jurassic epoch. The Late Triassic is divided into the Carnian, Norian and Rhaetian ages. Many of the first dinosaurs evolved during the Late Triassic, including Plateosaurus, Coelophysis, and Eoraptor.
